Band_URL;Artist_URL;isActive
http://dbpedia.org/resource/Muleskinner_(band);http://dbpedia.org/resource/David_Grisman;False
http://dbpedia.org/resource/Muleskinner_(band);http://dbpedia.org/resource/Peter_Rowan;False
http://dbpedia.org/resource/Muleskinner_(band);http://dbpedia.org/resource/John_Guerin;False
http://dbpedia.org/resource/Heathen_(band);http://dbpedia.org/resource/Marc_Biedermann;False
http://dbpedia.org/resource/Heathen_(band);http://dbpedia.org/resource/Doug_Piercy;False
http://dbpedia.org/resource/Heathen_(band);http://dbpedia.org/resource/Ira_Black_(musician);False
http://dbpedia.org/resource/Defecation_(band);http://dbpedia.org/resource/Mick_Harris;False
http://dbpedia.org/resource/Mak_and_the_Dudes;http://dbpedia.org/resource/Robert_Villar;False
http://dbpedia.org/resource/Mak_and_the_Dudes;http://dbpedia.org/resource/Rhap_Salazar;False
http://dbpedia.org/resource/Mak_and_the_Dudes;http://dbpedia.org/resource/Jairus_Aquino;False
http://dbpedia.org/resource/Mak_and_the_Dudes;http://dbpedia.org/resource/Makisig_Morales;False
http://dbpedia.org/resource/Institute_(band);http://dbpedia.org/resource/Gavin_Rossdale;False
http://dbpedia.org/resource/Institute_(band);http://dbpedia.org/resource/Chris_Traynor;False
http://dbpedia.org/resource/Eleven_(band);http://dbpedia.org/resource/Matt_Cameron;False
http://dbpedia.org/resource/Eleven_(band);http://dbpedia.org/resource/Natasha_Shneider;False
http://dbpedia.org/resource/Eleven_(band);http://dbpedia.org/resource/Greg_Upchurch;False
http://dbpedia.org/resource/Chopper_City_Boyz;http://dbpedia.org/resource/VL_Mike;False
http://dbpedia.org/resource/WC_and_the_Maad_Circle;http://dbpedia.org/resource/Sir_Jinx;False
http://dbpedia.org/resource/WC_and_the_Maad_Circle;http://dbpedia.org/resource/Chilly_Chill;False
http://dbpedia.org/resource/WC_and_the_Maad_Circle;http://dbpedia.org/resource/WC_(rapper);False
http://dbpedia.org/resource/WC_and_the_Maad_Circle;http://dbpedia.org/resource/Coolio;False
http://dbpedia.org/resource/The_Flying_Lizards;http://dbpedia.org/resource/Steve_Beresford;False
http://dbpedia.org/resource/The_Flying_Lizards;http://dbpedia.org/resource/Robert_Fripp;False
http://dbpedia.org/resource/The_Flying_Lizards;http://dbpedia.org/resource/David_Toop;False
http://dbpedia.org/resource/The_Flying_Lizards;http://dbpedia.org/resource/Vivien_Goldman;False
http://dbpedia.org/resource/The_Flying_Lizards;http://dbpedia.org/resource/David_Cunningham_(musician);False
http://dbpedia.org/resource/The_Famine;http://dbpedia.org/resource/Kris_McCaddon;False
http://dbpedia.org/resource/Balanescu_Quartet;http://dbpedia.org/resource/Jonathan_Carney;False
http://dbpedia.org/resource/Balanescu_Quartet;http://dbpedia.org/resource/Caroline_Dale;False
http://dbpedia.org/resource/Balanescu_Quartet;http://dbpedia.org/resource/Tony_Hinnigan;False
